id,intitule,adresse,code postal,ville,depot
1406,Olive Guery,7 Rue du Gerva,88230,Fraize,37
1407,Sylvie Laffont,67 Chemin du Cimetière,88100,Sainte-Marguerite,22
1408,Loïs Mercier,24 Rue Emile Durkheim,88100,Saint-Dié-des-Vosges,1
1409,Jonas Franco,4 Le Clos des Prairies,88120,Vagney,28
1410,Alexandra Daval,12 Rue de Belle Vue,88110,Raon-l'Étape,4
1411,Martin Jullien,20a Route des Séches Tournées,88230,Fraize,37
1412,Yaëlle Caro,10 Nouveau Saales,67420,Saales,19
1413,Youna Bonnel,8 Route de Clairegoutte,88230,Fraize,37
1414,Charline Bataille,Rue du Haut de l’Horloge,54830,Gerbéviller,58
1415,Ludivine Samson,89 Rue du Général Dufieux,68650,Lapoutroie,38
1416,Cécile Brunel,1280 Route de Biarville,88470,Nompatelize,11
1417,Pimprenelle Douay,24 Promenade de la Pierre d'Appel,88480,Étival-Clairefontaine,3
1418,Gwendoline Vannier,65 Route du Palmont,88650,Saint-Léonard,45
1419,Gabriel Leveque,8 Chemin de la Hulotte,88400,Gérardmer,42
1420,Annabelle Bayle,21 Impasse des Fontaines,88200,Dommartin-lès-Remiremont,29
1421,Dylan Combe,66 Rue De La Boutte,88470,La Voivre,13
1422,Mylan Monnier,9 Allee Raymond Aron,88100,Saint-Dié-des-Vosges,1
1423,Joelle Gaudemaris,89 Hambostures,68650,Lapoutroie,38
1424,Diego Rambaud,893 Route des Jumeaux,88470,La Bourgonce,11
1425,Ruben Lemoine,7 Rue de Moulins sur Allier,88580,Saulcy-sur-Meurthe,46
1426,Marianne Loisel,58 Chemin des Vieilles Fouies,88400,Xonrupt-Longemer,42
1427,Vincent Moreira,3 Rue de l’Ecluse,88130,Charmes,56
1428,Fabrice Lafitte,3 Avenue de la Fontenelle,88100,Saint-Dié-des-Vosges,1
1429,Lucas Masson,49 Rue Wessval,88110,Raon-l'Étape,4
1430,Claude Oudin,16 Rue de Saint-maurice,88210,Vieux-Moulin,15
1431,Baptiste Guyot,20 Rue de la Fosse,88480,Étival-Clairefontaine,3
1432,Joanna Blanchard,4 Chemin de la Prelle,88210,Ban-de-Sapt,63
1433,Augustin de Fontanges,34 Chemin du Heidenbach,68140,Munster,41
1434,Gaëlle Seguin,14 Rue des Fontaines,88490,Le Beulay,20
1435,Eloi Barreau,346 Cheminement de Niargoutte Diespach,67420,Plaine,17
1436,Ernest Pinto,159 Rue du Gotty,88470,La Bourgonce,11
1437,René Aubry,472 Rue des Fourneaux,88470,Saint-Michel-sur-Meurthe,2
1438,Roseline Delage,246 Rue du Pré Chapy,88650,Saint-Léonard,45
1439,Ophélie Rougier,2 Rue Emile Durkheim,88100,Saint-Dié-des-Vosges,1
1440,Roland Favier,40 Rue Ohl des Marais,88100,Saint-Dié-des-Vosges,12
1441,Dany Lemonnier,4ter Chemin de la Creuse,88530,Le Tholy,27
1442,Loïc Michon,150 Place de la République,67130,Schirmeck,62
1443,Yohann Guilloux,1 Rue Paul Langevin,88110,Raon-l'Étape,4
1444,Lola Drouet,29 Rue des Grands Prés,88120,Vagney,28
1445,Charles Gaillard,3 Route de Barembach,67130,Schirmeck,62
1446,Sabrina Jarry,28 Route de la Charbonniere,67420,Plaine,18
1447,Olympe Berton,62 Route de la Broche du Pont,88400,Xonrupt-Longemer,42
1448,Aimé Paris,30 Rue Etienne Simard,88130,Charmes,56
1449,Raymond Kremer,11 Route de Saint-jean-d'Ormont,88210,Ban-de-Sapt,63
1450,Titouan Favre,47 Rue de Schirmeck,67570,Rothau,62
1451,Patrice Pinet,6 Allée des Beaux Jardins,88470,Saint-Michel-sur-Meurthe,2
1452,Béatrice Lemarchand,10 Rue des Jonquilles,88100,Saint-Dié-des-Vosges,34
1453,Pauline Marty,23 Impasse du Temple,88110,Raon-l'Étape,4
1454,Zita Metayer,49 Boulevard d'Alsace,88400,Gérardmer,26
1455,Simone Fouquet,23 Rue du Docteur Lapierre,88250,La Bresse,49
1456,Christel Fonteneau,24 Rue Du Pair,88420,Moyenmoutier,14
1457,Ilian Boutet,2 Rue des Thuyas,88190,Golbey,53
1458,Lorenzo Bonnin,12bis Rue de Longuet,88200,Saint-Nabord,30
1459,Anne-Claire Bouvier,12 Route du Brabant,88250,La Bresse,49
1460,Marjorie Fillon,53 Le Centre,88490,Lusse,20
1461,Zéphir Billon,448 Route de la Houssière,88430,Corcieux,25
1462,Jérôme Prudhomme,10 Rue de l'Hermitage,88100,Saint-Dié-des-Vosges,1
1463,Carla Bauduin,14 Rue des Béchamps,88520,Ban-de-Laveline,36
1464,Alison Reynaud,23 Route de Nayemont,88100,Saint-Dié-des-Vosges,21
1465,April Faivre,28 Rue Eugène Mathis,88230,Fraize,37
1466,Alain Moreno,93 Impasse de l’Aumonerie,88430,Corcieux,25
1467,Andrea Jouan,3 Chemin des Chenaux,67420,Colroy-la-Roche,17
1468,Lionel Prat,47 Chemin de la Croisette,88100,Taintrux,24
1469,Camille Vivier,28a Allee des Gouttes,88210,Senones,15
1470,Lilian Guedon,45 Boulevard Kelsch,88400,Gérardmer,26
1471,Alexis Borel,Saulcy Devant Thiaville,54120,Bertrichamps,4
1472,Simon Guegan,15 Rue Emile Haxo,88110,Raon-l'Étape,4
1473,Ezio Bellec,45 Chemin de Miselle,88400,Gérardmer,26
1474,Arsène Massot,45 Avenue du Colonel de la Horie,54540,Badonviller,59
1475,Edmond Garcia,14 Chemin de la Roche,88230,Fraize,37
1476,Françoise Vallee,1 Rue des Vosges,67420,Saales,19
1477,Hugo Bloch,5 Rue de la Broche du Val,88460,Cheniménil,31
1478,Léon Debray,30 Route des Tixes,88430,Corcieux,25
1479,Valérian Pierron,1 La Hayotte,88650,Entre-deux-Eaux,22
1480,Harold Munoz,94 Rue de la Bolle,88100,Saint-Dié-des-Vosges,23
1481,Roger Chapuis,8 Rue Charles Gratia,88700,Rambervillers,8
1482,Martine Gregoire,34 Avenue Ernest Colin,88100,Saint-Dié-des-Vosges,47
1483,Emile Roussel,3 Chemin de la Belle Orge,88110,Raon-l'Étape,4
1484,Karen Delpech,500 La Rochette,68910,Labaroche,40
1485,Serge Braud,10 Rue Du Haut De Saint Prayel,88420,Moyenmoutier,14
1486,Justin Costes,3 Ancienne Route de Quieux,88210,Le Saulcy,16
1487,Albane Herbin,40 Chemin de Nolle Pré,88100,Taintrux,24
1488,Nadia Taillandier,3 La Menelle,54540,Pierre-Percée,60
1489,William Ducrocq,24 Route de Moyenmoutier,88210,Hurbache,64
1490,Jean-Louis Guichard,116 Obersolberg,68140,Eschbach-au-Val,41
1491,Marie Berry,7 Rue De L Hopital,88420,Moyenmoutier,14
1492,Ylan Garcin,1 Le Pré Georges,88250,La Bresse,49
1493,Gilberte Riche,21bis Rue de la Ménantille,88100,Saint-Dié-des-Vosges,47
1494,Estelle Bourgois,1 allée Emile Gerlach,88110,Raon-l'Étape,4
1495,Jean-Christophe Le breton,11 Route des Séches Tournées,88230,Fraize,37
1496,Kimi Fleury,1bis Rue de l'Universite,88100,Saint-Dié-des-Vosges,47
1497,Marc Florent,18 Rue de Bréhimont,88470,Saint-Michel-sur-Meurthe,2
1498,Lenny Flores,2 Rue Du Pair,88420,Moyenmoutier,14
1499,Nadine Husson,548 Route Des Vieux Champs,88470,La Voivre,64
1500,Alice Dupond,37 Rue du Centre,88200,Saint-Nabord,30
1501,Marine Baudet,8 Rue de Verdun,88250,La Bresse,49
1502,Evan Haas,1 Rue de l'Eau Morte,68370,Orbey,39
1503,Henri Provost,35 Rue de Genazeville,88640,Granges-Aumontzey,51
1504,Alban Granger,5 Allee 7,88150,Thaon-les-Vosges,54
1505,Alexine Gervais,43 Rue Carnot,88700,Rambervillers,8
1506,Christophe de Bruyères-Chalabre,9999 Rue De La Haute Pierre,88420,Moyenmoutier,14
1507,Rayan Fischer,8 Chemin de la Lombarde,88530,Le Tholy,27
1508,Victor Laroche,10 Rue Parmentier,88000,Épinal,53
1509,Laure Durieux,7a Rue des Limousins,88700,Jeanménil,9
1510,Eric Chiron,2 Rue de la Libération,88600,Brouvelieures,33
1511,Robin Dubois,122 Chemin de Miselle,88400,Gérardmer,26
1512,Maeva Leleu,52 Les Fontenelles,68370,Orbey,39
1513,Irene Forestier,4 Les Chapes,88640,Granges-Aumontzey,51
1514,Janine Rose,22 Route de Donmeix,88640,Champdray,51
1515,Lubin Maisonneuve,15 Place de l'Eglise,54290,Virecourt,57
1516,Lisa Voisin,20 Le Fraiteux,88210,Ban-de-Sapt,63
1517,Ethan Desprez,1163 Rte l’Envers du Rupt de Bamont,88290,Saulxures-sur-Moselotte,50
1518,Gérald Restaurand,2 Rue de Buemont,88600,Bruyères,32
1519,Soan Perret,459a Les Chiais,68910,Labaroche,40
1520,Lorraine Torres,18bis Rue de la Gare,88460,Cheniménil,31
1521,Jean-Michel Dumas,Rue de la Meurthe,88580,Saulcy-sur-Meurthe,46
1522,Abel Rolland,5 Route de Belmont,88600,Vervezelle,33
1523,Maryse De oliveira,901 Route de l’Aviation,88000,Dogneville,53
1524,Alexia Pelletier,1 Rue de la Graine Champ,68370,Orbey,39
1525,Valériane Pepin,1 Chemin des Chenes,88100,Saint-Dié-des-Vosges,12
1526,Nino Trouve,12 Rue de la Valdange,88480,Étival-Clairefontaine,3
1527,Gauthier Weiss,1 Rue Claude Bassot,88100,Saint-Dié-des-Vosges,12
1528,Véronique Bruyere,14 Rue de la Croisette,88490,Provenchères-et-Colroy,20
1529,Florent Le Floch,5 Route de l’Ancienne Usine,88600,Fiménil,32
1530,Soren Galembert,2bis Grande Rue,88700,Saint-Benoît-la-Chipotte,10
1531,Adam Pinson,1bis Route de Remiremont,88120,Vagney,28
1532,Jolan Tardy,1 Rue des Hauts Fossés,54290,Bayon,57
1533,Thiméo Wagner,la Bohle,68650,Lapoutroie,38
1534,Virgile Fievet,610 Du Faubourg,88700,Housseras,9
1535,Vanessa Maury,16 Route des Séches Tournées,88230,Fraize,37
1536,Orianne Guilbaud,39 Chemin du Langaeckerle,68140,Hohrod,41
1537,Sylviane Besnard,31 Rue des Acacias,88190,Golbey,53
1538,Noël Cuvelier,63 Rue Principale,67130,Fouday,18
1539,Damien Baudouin,5 Rue du Ménil,88480,Étival-Clairefontaine,3
1540,Géraldine Fremont,10f Rue de l’Adjudant Sagginatti,88130,Charmes,56
1541,Sandra Chauveau,30 Rue Des Aiguisettes,88420,Moyenmoutier,14
1542,Nina Maurin,20 Route de Bussang,88200,Remiremont,29
1543,Cédric Ragot,920 Rue Pierre et Germaine Crevisier,88650,Anould,45
1544,Maxime Pouget,10 Chemin du Taintroue,88100,Saint-Dié-des-Vosges,23
1545,Raphaël Gérard,5 Rue des Sources,54120,Deneuvre,5
1546,Chantal Aubertin,10 Rue de la Maladrie,88210,Hurbache,64
1547,Emilienne Philippon,23 Rue du Général de Gaulle,88200,Saint-Nabord,30
1548,Max Papin,724 Le Chene,88230,Ban-sur-Meurthe-Clefcy,44
1549,Vianney Pillet,3 Voie du Moulin,88230,Ban-sur-Meurthe-Clefcy,44
1550,Tim Berard,8e Rue Haute,88490,Provenchères-et-Colroy,20
1551,Manuel Aubin,126 Route d'Herbaville,88100,Saint-Dié-des-Vosges,2
1552,Gérard Dubourg,28 Chemin de la Grande Feigne,88400,Gérardmer,42
1553,Salomé Lucas,7 Rue Abbe Gustave Morel,88520,Ban-de-Laveline,36
1554,Karine Renaud,4 Les Baumes,88640,Granges-Aumontzey,51
1555,Kenzo Cochet,28 Rue du Stade,88520,Ban-de-Laveline,36
1556,Laurence Sevin,12 Quai des Vosges,54830,Gerbéviller,58
1557,Jean-Baptiste Billy,19 Rue 10ème Bataillon de Chasseurs a Pieds,88100,Saint-Dié-des-Vosges,47
1558,Sonia Bouchet,6b Rue du Gué,54120,Baccarat,5
1559,Jordan Renou,5 Rue du Colonel Andlauer,88100,Saint-Dié-des-Vosges,21
1560,Mylène Prunier,61 Rue Saint-pierre,54830,Gerbéviller,58
1561,François Auffret,6 Chemin de la Meurthe,88580,Saulcy-sur-Meurthe,46
1562,Thibaut Cote,27 Chemin du Walsbach,68140,Hohrod,41
1563,Madeleine Le bihan,1 Chemin du Dessus de l'Orme,88100,Saint-Dié-des-Vosges,34
1564,Samantha Mousset,1bis Rue du Ménil,88480,Étival-Clairefontaine,3
1565,Théo Lebreton,61 Rue Aristide Briand,88110,Raon-l'Étape,4
1566,Naël Bocquet,54 Devant les Evaux,88100,Neuvillers-sur-Fave,35
1567,Lou Guiot,4 Chemin du Purgatoire,88100,Saint-Dié-des-Vosges,12
1568,Kelly Philibert,24 Rue des Fusillés,88460,Cheniménil,31
1569,Margot Meyer,1 Impasse Chardanne,88190,Golbey,53
1570,Yann Piat,40 Rue de la Colline des Eaux,88700,Jeanménil,10
1571,Marie-Louise Mauduit,4c Chemin de la Chapelle,88210,Vieux-Moulin,15
1572,Marie-Noëlle Le bars,4 Avenue du Peintre Monchablon,88130,Charmes,56
1573,Marie-Pierre Tisserand,1 Ruelle de la Paroisse,54120,Deneuvre,5
1574,Célestin Lecocq,360 Chemin du Blanc Ruxel au Page,88400,Xonrupt-Longemer,42
1575,Leonie Delhaye,30 Chemin de la Tacotte,67420,Plaine,17
1576,Maria Ledoux,5 Le Faing Die,88600,Brouvelieures,33
1577,Edith Gueguen,10 Le Fraiteux,88210,Ban-de-Sapt,63
1578,Cindy Deschamps,42 Allée Pierre,88430,Corcieux,25
1579,Gaspard Delattre,1 Rue de la Prairie,88230,Fraize,37
1580,Roman Moulin,2 Rue du Gouty,88580,Saulcy-sur-Meurthe,46
1581,Jacques Collot,2 Rue des Acacias,88100,Saint-Dié-des-Vosges,1
1582,Florence Aubert,10 Route de Regimont,88580,Saulcy-sur-Meurthe,46
1583,Charlène Tournier,5 Chemin de la Goulle,88100,Saint-Dié-des-Vosges,12
1584,Danielle Godin,102 Le Trouchy,67130,Fouday,18
1585,Olivia Delannoy,13 Route de la Bure,88100,Saint-Dié-des-Vosges,47
1586,Micheline Jouve,746 Route de Grandrupt,88100,Pair-et-Grandrupt,21
1587,Mathilde de Montclos,16 Rue du Docteur Heid,68140,Munster,41
1588,Jean-Paul Carriere,8 Avenue du 8 Mai,54540,Badonviller,59
1589,Catherine Segard,5 Rue Edmond Haouy,88100,Saint-Dié-des-Vosges,34
1590,Théophile André,2 Rue Du General Leclerc,88420,Moyenmoutier,14
1591,Matéo Monteil,113 Route du Béaba,88400,Xonrupt-Longemer,42
1592,Harry Motte,32 Rue Maurice Barrès,88130,Charmes,56
1593,Bernard Mahe,2 Rue des Myosotis,88100,Saint-Dié-des-Vosges,34
1594,Jean-Marie Naudin,170 Rue Pierre Nicole,88430,Corcieux,25
1595,Jacqueline Payen,804 Rue Jacquard,88290,Saulxures-sur-Moselotte,50
1596,Céleste Laine,7 Route du Brabant,88250,La Bresse,49
1597,Ange Beaulieu,66 la Rancenure,68370,Orbey,40
1598,Nathan Brisset,2 Rue de la Gaiete,54540,Badonviller,59
1599,Yvette Goupil,4bis Les Baumes,88640,Granges-Aumontzey,51
1600,Milo Varlet,6 Rue de la Chaumelle,88490,Le Beulay,20
1601,Claire Bellot,2 Rue du Docteur Schweitzer,88110,Raon-l'Étape,4
1602,Victoria Raoul,531 Rue de l'Eglise,88650,Saint-Léonard,45
1603,Fernande Lechat,4 La Moline,88430,Gerbépal,48
1604,Julien Babin,17 Rue du Mal de Lattre de Tassigny,88580,Saulcy-sur-Meurthe,46
1605,Jean-Philippe Racine,1 Route du Chenel,88430,Corcieux,25
1606,Clément Dubuc,4bis Chemin du Baa,68650,Lapoutroie,38
1607,Liam Ferrari,20 Chemin de Ribeaupierre,88230,Fraize,37
1608,Germaine Vautrin,271 Ribeaugoutte,68650,Lapoutroie,38
1609,Dorian Riviere,4 Rue le Tremolot,88210,Belval,16
1610,Clara Roux,7 Rue Nicolas Guye,88100,Saint-Dié-des-Vosges,22
1611,Téo Boutin,74 Voie du Bas du Village,88230,Ban-sur-Meurthe-Clefcy,44
1612,Josette Gosselin,870 Route de Grandrupt,88100,Pair-et-Grandrupt,21
1613,Gilbert Tison,2 Chemin Hingray,88000,Épinal,53
1614,Nicole Puech,13 Rue du Cheny,88400,Gérardmer,26
1615,Felix Huchet,20 Chemin des Charmilles,88100,Saint-Dié-des-Vosges,23
1616,Tabitha Mazet,104 Rue de la Bolle,88100,Saint-Dié-des-Vosges,23
1617,Ginette Lang,18 Place de l'Eglise,88600,Champ-le-Duc,32
1618,Nadege Ouvrard,314a Le Pont de Pierre,88230,Ban-sur-Meurthe-Clefcy,37
1619,Cloé Tardieu,29 Chemin d’Accras,54290,Bayon,57
1620,Bénédicte Grimaud,159 Le Moulin,88420,Moyenmoutier,14
1621,Elie Raimbault,27 Route de Robache,88100,Saint-Dié-des-Vosges,12
1622,Richard Luciani,501 Route de la Froide Fontaine,88470,La Bourgonce,11
1623,Jules Huguet,232 Rue des 3 Maisons,88400,Xonrupt-Longemer,42
1624,Urbain Rillart de Verneuil,35a Rue Jean Aurange,88210,Senones,15
1625,Milan Gosset,1 Place de la Tuilerie,68140,Munster,41
1626,Edouard Tran,1 Rue 75 79e Divisions Americaines,88130,Charmes,56
1627,Marius Lesueur,3 Rue du Maréchal Foch,88130,Charmes,56
1628,Basile Hoffmann,13 Chemin des Capucins,88200,Remiremont,29
1629,Johanna Menard,3 Ruelle Des Fees,88420,Moyenmoutier,14
1630,Hector Terrien,151 Route de Sarupt,88650,Saint-Léonard,45
1631,Luc Grange,144 Route du Relais,88400,Xonrupt-Longemer,42
1632,Farah Carpentier,498 Rue de Ribeaupierre,88650,Saint-Léonard,45
1633,Léa Louis,Le Harcholet,88210,Le Saulcy,16
1634,Robert Blandin,1 Chemin de la Charbonnière,88210,Moussey,16
1635,Ursula Piot,85 Rue de la Gaisse,88100,Neuvillers-sur-Fave,35
1636,Corinne Rigaud,456 le Faugrede,68910,Labaroche,40
1637,Albin Vigneron,7 Rue du Chant de la Terre,88000,Chantraine,53
1638,Ryan Le roux,1 Chemin de la Moncelle,54120,Deneuvre,5
1639,Sandrine Caillaud,74 Montée du Pré des Clefs,88400,Gérardmer,26
1640,Logan Loyer,24 Chemin de la Belle Campagne,88100,Nayemont-les-Fosses,21
1641,Cerise Michel,6a Chemin des Epinettes,88400,Gérardmer,26
1642,David Mora,16 Rue du Bousson,88470,Saint-Michel-sur-Meurthe,2
1643,Hubert Jan,2 Rue de l'Europe,68650,Lapoutroie,38
1644,Maud Garrigues,7bis Chemin du Froid,88200,Saint-Nabord,30
1645,Bernadette Chaix,20 Rue du Rond Bois,88390,Uxegney,53
1646,Abigaëlle Le Coz,60 La Petite Fin,54830,Haudonville,58
1647,Angèle Portal,41 Quai du Stade,88100,Saint-Dié-des-Vosges,34
1648,Huguette Miquel,74 Rue de la Croix Bertrand,88700,Rambervillers,8
1649,Noa Hoareau,5 Rue du Feigneux,88600,Brouvelieures,33
1650,Fabien Fontaine,1 la Graine,88230,Ban-sur-Meurthe-Clefcy,44
1651,Alicia Pham,19 Route de Bruyeres (Granges-sur-Vologne),88640,Granges-Aumontzey,51
1652,Peggy d'Harcourt,8 Avenue Ma.l de Lattre,88400,Gérardmer,26
1653,Paolo Cros,1 Allée des Aulnes,88000,Épinal,52
1654,Gisèle Chollet,18 Chemin de Padaine,88700,Rambervillers,8
1655,Fanny Auger,7 Route de la Courbe,88250,La Bresse,49
1656,Alix Caillet,1315 Route de Coinches,88520,Raves,35
1657,Emeline Perrault,14 Rue du 31ème Bataillon de Chasseurs à Pied,88100,Saint-Dié-des-Vosges,34
1658,Inès Blaise,62 Bois le Sire,68370,Orbey,40
1659,Thibaud Pouliquen,87 Rue des Jardins,88130,Charmes,56
1660,Louise Roca,21 Rue Louis Marin,88600,Bruyères,32
1661,Adeline Allemand,3 Chemin du Brûlé,88100,Saint-Dié-des-Vosges,34
1662,Urielle Barbier,1 Rue de la Croix,67420,Saales,19
1663,Emilie Sorin,11 Route de la Hollande,88210,Hurbache,64
1664,Loan Roger,229 Rue De La Gasse,88470,La Voivre,13
1665,Julian Bailleul,27 Rue du 8 Mai,88520,Ban-de-Laveline,36
1666,Thibault Guillemin,10 Rue de l'Eglise,88650,Saint-Léonard,45
1667,Eloan Guery,88 Kermodé,68650,Lapoutroie,38
1668,Eugene Laffont,30 Rue de Métendal,88700,Rambervillers,8
1669,Zoé Mercier,24 Route du Donon,67130,La Broque,62
1670,Bruno Franco,12 Impasse du Jardin des Arbres,88120,Vagney,28
1671,Antonin Daval,3 Impasse des Cristalleries,88700,Rambervillers,8
1672,Angélique Jullien,533 Chemin de la Croix Saint-georges,88100,Taintrux,24
1673,Anatole Caro,213 Rue Joseph Thiéry,88230,Ban-sur-Meurthe-Clefcy,44
1674,Valentine Bonnel,326 Chemin du Haut de la Côte,88230,Ban-sur-Meurthe-Clefcy,44
1675,Charlie Bataille,2bis Rue de l'Oiseau Bleu,88000,Épinal,52
1676,Romane Samson,14 Route de Vervezelle,88600,Brouvelieures,32
1677,Louison Brunel,1 Ruelle du Jard,54830,Gerbéviller,58
1678,Isabelle Douay,413 Chemin de la Haute Fossé,88100,Taintrux,24
1679,Anne-Laure Vannier,1bis Rue des Dahlias,88100,Saint-Dié-des-Vosges,34
1680,Joris Leveque,8 Les Gouttelles,88640,Granges-Aumontzey,51
1681,Solene Bayle,24 Rue du Moulin,88130,Charmes,56
1682,Enola Combe,38 Chemin des Chenes,88100,Saint-Dié-des-Vosges,1
1683,Anissa Monnier,6bis Avenue 36e Division Us,88600,Bruyères,32
1684,Stanislas Gaudemaris,Route Rd 42 la Suche,88200,Saint-Étienne-lès-Remiremont,30
1685,Odette Rambaud,5 Chemin de Blanchifontaine,88700,Rambervillers,8
1686,Jacky Lemoine,Allee 5,88150,Thaon-les-Vosges,54
1687,Melanie Loisel,986 Rue des Mitreuches,88200,Dommartin-lès-Remiremont,29
1688,Arnaud Moreira,87 Kermodé,68650,Lapoutroie,38
1689,Noelle Lafitte,695 Chemin de l'Epine,88100,Taintrux,24
1690,Aubin Masson,718 Route des Relles Gouttes,88400,Xonrupt-Longemer,42
1691,Ludwig Oudin,397 Rue 31e Btn de Chasseurs a Pied,88430,Corcieux,25
1692,Natacha Guyot,407bis Route des Longenes,88290,Saulxures-sur-Moselotte,50
1693,Mickey Blanchard,1 Route de Remenoville,54830,Gerbéviller,58
1694,Yvaine de Fontanges,7 Route de Chatas,88210,Ban-de-Sapt,63
1695,Tatiana Seguin,21 Chemin des Roches Chevaliers,88530,La Forge,27
1696,Emine Barreau,2 Rue de Nauraumont,88150,Thaon-les-Vosges,54
1697,Matteo Pinto,399 Rue du Closé,88470,Saint-Michel-sur-Meurthe,2
1698,Matthieu Aubry,1 Ferme Noël,88210,Saint-Stail,19
1699,Mathieu Delage,226 Sentier des Feignes,88470,Nompatelize,11
1700,Guillaume Rougier,3 Voitimont,88460,Docelles,31
1701,Anne Favier,353 Rue de l'Ormeau,88430,Corcieux,25
1702,Noan Lemonnier,17 Rue de la Prairie,88100,Saint-Dié-des-Vosges,47
1703,Norbert Michon,12 Rue de la Croix Egline,88430,Corcieux,25
1704,Marie Guilloux,6 Rue du Pont de Saint-Jean,88210,Le Saulcy,16
1705,Brice Drouet,346 Niargoutte,67420,Plaine,17
1706,Viviane Gaillard,253 Rue de la Gare,88100,Sainte-Marguerite,22
1707,Cassandra Jarry,83 Chemin du Trouchy,67130,Fouday,17
1708,Perrine Berton,Hambostures,68650,Lapoutroie,38
1709,Orane Paris,226 Route de Biarville,88470,Nompatelize,11
1710,Ronan Kremer,3 Rue de la Fontaine Salovin,54122,Fontenoy-la-Joûte,6
1711,Benjamin Favre,194 Allée des Corvees,88430,Corcieux,25
1712,Cyprien Pinet,15 Velupaire,88520,Ban-de-Laveline,36
1713,Lydie Lemarchand,5 Ruelle des Sables,88100,Saint-Dié-des-Vosges,12
1714,Deborah Marty,Route Des Vieux Champs,88470,La Voivre,13
1715,Dimitri Metayer,2 Le Palais,88210,Saint-Stail,19
1716,Bastien Fouquet,37 Chemin des Aulnes,88100,Sainte-Marguerite,22
1717,Aude Fonteneau,243 Banbois,68650,Lapoutroie,38
1718,Sophie Boutet,411 Route du Blanc Ruxel,88400,Xonrupt-Longemer,42
1719,Amandine Bonnin,25 Avenue Léon Blum,88000,Épinal,53
1720,Romain Bouvier,16 le Beheue,88600,Bruyères,32
1721,Adrienne Fillon,28 Rue de la République,68140,Munster,41
1722,Laetitia Billon,629 Route Départementale,88230,Ban-sur-Meurthe-Clefcy,44
1723,Jeanine Prudhomme,1 Rue des Jonquilles,88150,Thaon-les-Vosges,54
1724,Tony Bauduin,398 Chemin de la Chanelle,88100,Nayemont-les-Fosses,22
1725,Alexandre Reynaud,Bois des Cinq Communes,54540,Fenneviller,59
1726,Annie Faivre,565 Grand Rue,88470,La Voivre,13
1727,Alphonse Moreno,2022 Route du Droit du Rupt de Bamont,88290,Saulxures-sur-Moselotte,50
1728,Floriane Jouan,86 Rue des Myrtilles,88430,Corcieux,25
1729,Isaac Prat,3 Chemin des Grandes Fées,88600,Bruyères,32
1730,Nicolas Vivier,23 Bas de Raumont,88520,Ban-de-Laveline,36
1731,Maximilien Guedon,1 Rue Voltaire,88110,Raon-l'Étape,4
1732,Genevieve Borel,37 Rue de la Filature,88460,Cheniménil,31
1733,Zaccharie Guegan,2 Rue du Haut du Chainé,88600,Brouvelieures,33
1734,Nathalie Bellec,332 Rue du Moulin,88650,Saint-Léonard,45
1735,Christine Massot,14bis Rue David,88640,Granges-Aumontzey,51
1736,Francine Garcia,Le Pre Hesse,88530,Le Tholy,27
1737,Carole Vallee,79 Bermont,68650,Lapoutroie,38
1738,Gaël Bloch,37 Velupaire,88520,Ban-de-Laveline,36
1739,Anne-Marie Debray,45 Voie Communale 115 de Bazien,88700,Xaffévillers,7
1740,Marceau Pierron,15 Rue Philippe Seguin,88000,Épinal,52
1741,Fernand Munoz,41 Place de la Mairie,68140,Eschbach-au-Val,41
1742,Jeannine Chapuis,68 Avenue du Huit Mai,88700,Rambervillers,8
1743,Yolande Gregoire,3 Rue de la Gare,88460,Cheniménil,31
1744,Florian Roussel,24d Faubourg d'Alsace,88200,Remiremont,29
1745,Benoit Delpech,10 Route des Fourneaux,88430,Gerbépal,48
1746,Barbara Braud,112y Bousillon,88700,Rambervillers,8
1747,Clementine Wagner,16bis Avenue de Virecourt,54290,Bayon,57
1748,Paulette Fievet,5 Chemin de Raye Terre,54540,Badonviller,59
1749,Rémi Maury,31 Rue du Couchant,88000,Épinal,53
1750,Luis Guilbaud,330a Avenue du Général de Gaulle,88100,Sainte-Marguerite,22
1751,Grégory Besnard,505 Rue Joseph Thiéry,88230,Ban-sur-Meurthe-Clefcy,44
1752,Sarah Cuvelier,2 Rue des Breux,88120,Vagney,28
1753,Christiane Baudouin,32 Avenue de la Division Leclerc,54540,Badonviller,59
1754,Gaëtan Fremont,3 Allee 7,88150,Thaon-les-Vosges,54
1755,Manon Chauveau,702 Chemin du Rain des Bolés,88100,Nayemont-les-Fosses,21
1756,Daniele Maurin,21 Rue de l'Eglise,88200,Saint-Étienne-lès-Remiremont,29
1757,Pablo Ragot,3 Rue P Ancel Seitz,88640,Granges-Aumontzey,51
1758,Léo Pouget,1 Place de la Mairie,88210,Le Saulcy,16
1759,Tom Gérard,243 Bambois,68650,Lapoutroie,38
1760,Rachel Aubertin,22 Rue de la Basse des Loges,88110,Luvigny,61
1761,Sélène Philippon,Chargotelle,68650,Lapoutroie,38
1762,Gabin Papin,10 Impasse de la Madeleine 1,88100,Saint-Dié-des-Vosges,23
1763,Cyril Pillet,27 Rue du Grand Roué,67420,Saulxures,17
1764,Kévin Berard,1 Rue Emile Zola,88190,Golbey,53
1765,Coline Aubin,10bis Rue de la Promenade,88210,La Petite-Raon,15
