id,nom,prenom,naissance,pays
2756,Faivre,Agnès,1954-11-04,FR
2757,Moreno,Mathis,1962-04-28,FR
2758,Jouan,Anne-Lise,1958-05-26,FR
2759,Prat,Georgette,1955-03-11,FR
2760,Vivier,Marie-Claude,1981-12-29,FR
2761,Guedon,Anthony,1981-12-17,FR
2762,Borel,Delphine,1985-11-15,FR
2763,Guegan,Thaïs,1967-10-02,FR
2764,Bellec,Felix,1973-07-13,FR
2765,Massot,Tabitha,1974-06-16,FR
2766,Garcia,Ginette,1967-05-10,FR
2767,Vallee,Nadege,1988-03-06,FR
2768,Bloch,Cloé,1948-07-15,FR
2769,Debray,Bénédicte,1989-05-18,FR
2770,Pierron,Elie,1970-07-04,FR
2771,Munoz,Richard,1954-03-12,FR
2772,Chapuis,Jules,1946-03-10,FR
2773,Gregoire,Urbain,1955-03-18,FR
2774,Roussel,Milan,1966-04-28,FR
2775,Delpech,Edouard,1948-04-08,FR
2776,Braud,Marius,1957-01-02,FR
2777,Wagner,Basile,1980-06-15,FR
2778,Fievet,Johanna,1970-09-10,FR
2779,Maury,Hector,1992-09-16,FR
2780,Guilbaud,Luc,1991-07-15,FR
2781,Besnard,Farah,1979-05-05,FR
2782,Cuvelier,Léa,1945-06-11,FR
2783,Baudouin,Robert,1990-02-20,FR
2784,Fremont,Ursula,1988-08-19,FR
2785,Chauveau,Corinne,1956-06-03,FR
2786,Maurin,Albin,1951-04-30,FR
2787,Ragot,Ryan,1956-05-04,FR
2788,Pouget,Sandrine,1987-03-17,FR
2789,Gerard,Logan,1960-04-20,FR
2790,Aubertin,Cerise,1945-01-20,FR
2791,Philippon,David,1948-07-09,FR
2792,Papin,Hubert,1964-07-25,FR
2793,Pillet,Maud,1992-04-06,FR
2794,Berard,Bernadette,1980-02-27,FR
2795,Aubin,Abigail,1977-06-11,FR
2796,Dubourg,Angèle,1968-03-21,FR
2797,Lucas,Huguette,1979-04-06,FR
2798,Renaud,Noa,1989-05-30,FR
2799,Cochet,Fabien,1979-02-20,FR
2800,Sevin,Alicia,1950-04-06,FR
2801,Williams,Rory,1986-08-28,GB
2802,Pond,Amelia,1988-11-12,GB
2803,Owens,Craig,1982-06-05,GB
2804,Leach,Archibald,1939-10-27,GB
2805,Potter,Harry,1980-07-31,GB
2806,Weasley,Ron,1980-03-01,GB
2807,Granger,Hermione,1979-09-19,GB
2808,Hopkrik,Mafalda,1962-01-20,GB
2809,Kochman,Mats,1970-01-09,DE
2810,Gras,Erich,1987-05-24,DE
2811,Burger,Lando,1986-06-16,DE
2812,Olgart,Tanja,1947-02-06,DE
2813,Kellner,Franziska,1964-12-19,DE
2814,Esche,Leoni,1982-02-10,DE
2815,Bartholomaeus,Derrek,1989-04-21,DE
2816,Heinrich,Lili,1969-07-23,DE
2817,Kraemer,Thomas,1981-07-11,DE
2818,Kesse,Louisa,1977-05-27,DE
2819,Cederman,Birgit,1957-12-03,DE
2820,Fet,Lea,1957-08-22,DE
2821,Weille,Frieda,1980-08-10,DE
2822,Benz,Julian,1987-02-26,DE
2823,Frank,Leopold,1973-06-19,DE
2824,Schwartzenberg,Mats,1948-06-26,DE
2825,Weille,Lili,1964-02-11,DE
2826,Hensler,Conrad,1970-06-14,DE
2827,Ungefugt,Lara,1953-03-30,DE
2828,Gärtener,Siegfried,1958-06-29,DE
2829,Keller,Melina,1966-10-10,DE
2830,Haas,Holger,1958-03-15,DE
2831,Gorris,Maya,1950-01-23,DE
2832,Lambling,Laura,1964-09-03,DE
2833,Karcher,Josefine,1971-08-12,DE
2834,Burgmeister,Adrian,1963-03-07,DE
2835,Lenz,Gerarde,1982-12-16,DE
2836,Möller,Eberhard,1951-09-24,DE
2837,Schneider,Birgit,1955-02-13,DE
2838,Maüs,Lilli,1954-06-10,DE
2839,Becker,Harald,1954-01-26,DE
2840,Pöpfer,Ida,1994-04-19,DE
2841,Schreiber,Paula,1978-11-04,DE
2842,Tsederbaum,Lya,1946-08-11,DE
2843,Berger,Louisa,1994-09-03,DE
2844,Kellermann,Jonas,1959-09-11,DE
2845,Leonhard,Paul,1992-06-22,DE
2846,Bergmann,Lya,1987-02-02,DE
2847,Fetting,Jupp,1948-06-13,DE
2848,Goebel,Volker,1951-10-15,DE
2849,Krämer,Uwe,1992-03-29,DE
2850,Ziegler,Paul,1963-03-19,DE
2851,Decker,Lena,1992-01-10,DE
2852,Hoffman,Alda,1970-03-22,DE
2853,Heinz,Rainer,1967-12-15,DE
2854,Grosz,Greta,1965-12-07,DE
2855,Itti,Rudy,1990-02-11,DE
2856,Wilbrecht,Herman,1952-07-02,DE
2857,Freymuth,Rainer,1973-09-12,DE
2858,Walther,Leni,1959-10-20,DE
2859,Halperin,Uwe,1965-10-10,DE
2860,Zeder,David,1972-02-05,DE
2861,Schwars,Rudi,1958-06-27,DE
2862,Graaf,Niklas,1980-11-15,DE
2863,Heïob,Klaus,1954-07-30,DE
2864,Engel,Rudi,1979-04-03,DE
2865,Erler,Max,1993-01-23,DE
2866,Ritter,Bernhard,1975-05-05,DE
2867,Eiche,Lia,1992-06-19,DE
2868,Klaas,Ralf,1992-01-21,DE
2869,Schoenstein,Tim,1967-06-17,DE
2870,Fleisch,Diether,1959-02-11,DE
2871,Johannes,Leopold,1982-11-28,DE
2872,Kreitz,Wolgang,1979-12-20,DE
2873,Kleinmann,Gelsa,1978-04-28,DE
2874,Wagner,Leopold,1973-10-14,DE
2875,Stöffel,Klara,1978-02-20,DE
2876,Probst,Lara,1960-02-21,DE
2877,Lamb,Laura,1960-12-24,DE
2878,Webber,Michael,1972-02-20,DE
2879,Wolfgang,Alexander,1970-06-10,DE
2880,Bornemann,Annika,1986-09-28,DE
2881,Georg,Giesela,1952-11-24,DE
2882,Gregorius,Otho,1986-09-03,DE
2883,Räder,Maximilian,1976-02-13,DE
2884,Eberhardt,Linda,1956-03-22,DE
2885,Wiedermann,Flitzie,1954-12-09,DE
2886,Matthias,Richard,1988-11-10,DE
2887,Müller,Zoe,1965-03-25,DE
2888,Bauer,Anja,1947-02-24,DE
2889,Henssler,Nele,1974-10-29,DE
2890,Käsmacher,Brunhild,1960-08-25,DE
2891,Fahrnbach,Maximilian,1965-12-02,DE
2892,Stoesser,Derrek,1956-04-21,DE
2893,Hase,Dominik,1970-01-10,DE
2894,Theobald,Sylivia,1968-06-26,DE
2895,Goldman,Nina,1992-09-29,DE
2896,Grass,Liah,1945-02-17,DE
2897,Kreuz,Julian,1952-02-18,DE
2898,Jungblut,Zoe,1951-02-11,DE
2899,Stier,Egon,1951-03-22,DE
2900,Kürschner,Leah,1953-10-21,DE
2901,Wichmann,Nina,1969-04-02,DE
2902,Schmidlin,Dieter,1986-02-05,DE
2903,Acker,Gerarde,1956-08-19,DE
2904,Nickels,Ulbert,1979-06-03,DE
2905,Dittmar,Erich,1978-02-16,DE
2906,Pfister,Alda,1970-11-14,DE
2907,Henker,Siegfried,1966-04-07,DE
2908,Sattler,Artur,1964-07-03,DE
2909,Abt,Leonie,1986-03-12,DE
2910,Bechele,Derrek,1967-05-04,DE
2911,Vogel,Hanna,1977-10-15,DE
2912,Rader,Andreas,1954-02-16,DE
2913,Höflicher,Claudia,1973-08-08,DE
2914,Itty,Ernst,1951-02-02,DE
2915,Fehrenbach,Lothar,1967-10-16,DE
2916,Köning,Ulrich,1972-11-21,DE
2917,Schnekenburger,Birgit,1974-05-26,DE
2918,Mayr,Tim,1977-07-21,DE
2919,Hoffmann,Volker,1950-03-14,DE
2920,Leo,Paul,1949-09-17,DE
2921,Weissmüller,Lukas,1952-09-15,DE
2922,Theissen,Gudrun,1982-08-27,DE
2923,Hetmann,Anna,1966-07-19,DE
2924,Brükner,Engelbert,1963-08-21,DE
2925,Käsmann,Jonas,1992-05-28,DE
2926,Walter,Anton,1971-03-19,DE
2927,Dinkelmann,Wilma,1991-03-28,DE
2928,Kristof,Jasmin,1988-02-19,DE
2929,Brücke,Kristina,1949-01-17,DE
2930,Fehrenbacher,Paulus,1958-03-08,DE
2931,Lorentz,Frieda,1952-09-20,DE
2932,Korber,Wilhelm,1981-01-27,DE
2933,Mildt,Hans,1968-11-08,DE
2934,Edelstein,Lidwine,1975-04-05,DE
2935,Erle,Giesela,1987-12-19,DE
2936,Kleinman,Liah,1975-08-30,DE
2937,Hafner,Philipp,1980-02-22,DE
2938,Eilenbecker,Leah,1947-02-14,DE
2939,Tischmacher,Astrid,1958-01-29,DE
2940,Fichter,Elias,1966-11-18,DE
2941,Tischer,Oliver,1974-04-06,DE
2942,Ferenbach,Johan,1980-11-03,DE
2943,Baumgarten,Matthias,1952-04-11,DE
2944,Franfurter,Christof,1976-05-21,DE
2945,Karl,Frika,1984-08-10,DE
2946,Nagel,Lilli,1969-03-31,DE
2947,Francfort,Jürgen,1979-05-21,DE
2948,Bischoff,Alina,1994-02-14,DE
2949,Kocks,Edmund,1948-11-01,DE
2950,Huhn,Leoni,1966-02-20,DE
2951,Schmitt,Ottmar,1978-01-05,DE
2952,Danel,Gustav,1949-09-06,DE
2953,Meier,Bernhard,1969-11-23,DE
2954,Kruger,Finja,1971-06-20,DE
2955,Vincent,Markus,1957-01-19,DE
2956,Marcus,Greta,1984-06-22,DE
2957,Drummer,Emily,1958-10-08,DE
2958,Foster,Max,1955-03-30,DE
2959,Brückmann,Emma,1979-01-17,DE
2960,Thomaes,Josefine,1980-12-31,DE
2961,Tsederboim,Ernst,1978-12-02,DE
2962,Robert,Conrad,1979-04-24,DE
2963,Siemens,Ronja,1984-06-18,DE
2964,Honecker,Wilhelm,1948-01-13,DE
2965,Rosenbaum,Leonie,1987-07-24,DE
2966,Falkenback,Lya,1965-04-05,DE
2967,Müller,Benedikt,1960-07-17,DE
2968,Eichmmann,Emma,1985-11-25,DE
2969,Schaeffer,Paulus,1976-04-21,DE
2970,Hammerschmidt,Anna,1983-07-29,DE
2971,Kauffman,Tim,1948-05-01,DE
2972,Mutt,Dominik,1980-01-15,DE
2973,Freudiger,Max,1970-02-18,DE
2974,Wiedemann,Gretchen,1962-05-29,DE
2975,Holz,Helmut,1987-09-23,DE
2976,Halbronn,Lilli,1961-11-17,DE
2977,Bartel,Lisa,1992-10-06,DE
2978,Brama,Franziska,1992-02-09,DE
2979,Landgraf,Johanna,1961-05-16,DE
2980,Eberhard,Sebastian,1965-09-10,DE
2981,Haes,Harald,1988-10-31,DE
2982,Faber,Gerald,1948-03-17,DE
2983,Jopp,Johan,1992-09-02,DE
2984,Pfaff,Lars,1980-08-01,DE
2985,Engländer,Emilie,1945-11-10,DE
2986,Kremer,Karl,1992-08-08,DE
2987,Grassmann,Gelsa,1962-04-20,DE
2988,Mertin,Edda,1974-11-14,DE
2989,Berck,Jens,1987-02-01,DE
2990,Kolher,Jana,1952-05-29,DE
2991,Altmann,Maya,1950-08-21,DE
2992,Mönch,Rudy,1960-07-09,DE
2993,Lukas,Wolgang,1965-03-09,DE
2994,Tinnes,Tinka,1993-03-10,DE
2995,Dimke,Hannah,1965-07-25,DE
2996,Thalmann,Uwe,1991-05-08,DE
2997,Meyer,Horst,1950-06-02,DE
2998,Baumann,Elke,1972-12-26,DE
2999,Kilburger,Lilly,1975-03-26,DE
3000,Freimann,Melina,1954-11-29,DE
3001,Trummer,Melina,1950-06-24,DE
3002,Böotner,Otho,1962-11-19,DE
3003,Landreiter,Sofia,1968-03-12,DE
3004,Pfaffen,Petra,1951-05-26,DE
3005,Fogel,Gelsa,1961-05-08,DE
3006,Hoffmeister,Jakob,1982-06-16,DE
3007,Glaser,Franz,1945-09-25,DE
3008,Hans,Gerd,1946-05-23,DE
3009,Kreizer,Waldemar,1965-04-28,DE
3010,Bernhard,Johanna,1969-03-18,DE
3011,Wagemann,Edda,1977-12-21,DE
3012,Vincentius,Sylivia,1956-08-09,DE
3013,Flamme,Alina,1948-11-13,DE
3014,Obermayer,Clara,1976-05-30,"DE'),"
3015,Cederbom,Rainer,1968-08-01,DE
3016,Schwartzberg,Marlene,1983-06-15,DE
3017,Bentz,Katrin,1964-01-20,DE
3018,Räter,Sebastian,1958-09-02,DE
3019,Groshans,Lina,1964-02-10,DE
3020,Idt,Holger,1961-05-23,DE
3021,Obermeyer,Lotta,1964-05-04,DE
3022,Jörg,Karl,1986-06-07,DE
3023,Meister,Hubert,1952-10-09,DE
3024,Farnbach,Hannah ,1953-05-12,DE
3025,Mohr,Marlene,1979-10-21,DE
3026,Kleinhans,Gerd,1965-02-06,DE
3027,Dinckel,Leoni,1960-10-11,DE
3028,Schwartzenberger,Sara,1983-03-17,DE
3029,Spillmann,Christof,1979-02-16,DE
3030,Faszbinder,Jan,1981-09-15,DE
3031,Julius,Thilo,1989-07-10,DE
3032,Jungling,Finnja,1973-12-28,DE
3033,Mathis,Joachim,1970-01-17,DE
3034,Kesler,Siegfried,1955-06-13,DE
3035,Lambrecht,Kurt,1984-10-17,DE
3036,Schumann,Diether,1948-06-22,DE
3037,Wickel,Wilma,1974-06-10,DE
3038,Hasse,Jakob,1968-01-25,DE
3039,Reiter,Eckart,1951-09-09,DE
3040,Messner,Gerarde,1975-02-13,DE
3041,Trommer,Lia,1994-08-14,DE
3042,Ebstein,Rudolf,1966-04-27,DE
3043,Friedrich,Markus,1949-10-27,DE
3044,Aschenberner,Franziska,1955-11-25,DE
3045,Angermann,Flitzie,1988-09-14,DE
3046,Tempel,Ulbert,1964-03-11,DE
3047,Werder,Gretchen,1989-04-10,DE
3048,Frantz,Greta,1966-04-03,DE
3049,Stoffer,Paulus,1950-04-01,DE
3050,Hauptmann,Pia,1966-06-13,DE
3051,Eberling,Waldemar,1974-04-19,DE
3052,Marx,Hans,1987-02-17,DE
3053,Fett,Hylda,1977-12-08,DE
3054,Franckel,Jens,1973-09-02,DE
3055,Klinker,Lena,1954-01-17,DE
3056,Zumthor,Teresa,1978-11-05,DE
3057,Schmidt,Lena,1970-06-28,DE
3058,Grosfeld,Luisa,1992-06-11,DE
3059,Gasthaus,Wolgang,1947-11-04,DE
3060,Steffens,Diether,1967-07-08,DE
3061,Kleinprinz,Julia,1989-06-06,DE
3062,Teitelman,Adrian,1969-12-10,DE
3063,Lehnard,Sarah,1992-01-03,DE
3064,Käsner,Christof,1964-12-10,DE
3065,Kaufman,Marie,1957-09-24,DE
3066,Kraak,Tinka,1982-09-23,DE
3067,Frey,Johan,1990-07-07,DE
3068,Moor,Lothar,1982-07-25,DE
3069,Franciscus,Anna,1985-05-17,DE
3070,Hammerschmitt,Robin,1974-01-01,DE
3071,Mererson,Finja,1963-07-07,DE
3072,Zimmermann,Paul,1962-05-02,DE
3073,Dietrich,Lina,1991-03-12,DE
3074,Rank,Alexander,1957-08-03,DE
3075,Walker,Gwendolin,1978-12-24,DE
3076,Kieffer,Eckart,1979-04-26,DE
3077,Fraenkel,Manfred,1971-07-28,DE
3078,Tischler,Hermine,1967-09-14,DE
3079,Stinnes,Holger,1968-07-29,DE
3080,Maria,Emilie,1959-02-16,DE
3081,Schwarzmann,Sofie,1970-07-27,DE
3082,Jacobs,Lara,1974-12-31,DE
3083,Frisch,Emilia,1973-12-05,DE
3084,Dinkel,Christian,1978-09-02,DE
3085,Tempels,Eduard,1975-07-13,DE
3086,Weichmann,Hannah,1950-04-02,DE
3087,Fuchs,Rudi,1964-03-23,DE
3088,Rosenberg,Giesela,1950-07-27,DE
3089,Hofer,Ivonne,1986-10-24,DE
3090,Kocher,Luisa,1976-10-04,DE
3091,Josef,Julia,1993-12-05,DE
3092,Dorn,Charlotte,1975-11-22,DE
3093,Rosenau,Karl,1958-08-03,DE
3094,Goldschmidt,Herman,1986-07-26,DE
3095,Margraff,Florian,1967-01-05,DE
3096,Sochnchen,Jakob,1963-11-15,DE
3097,Weingarten,Michael,1977-07-21,DE
3098,Burg,Florian,1970-02-04,DE
3099,Veil,Florian,1967-09-30,DE
3100,Dietz,Finnja,1945-07-05,DE
3101,Damian,Ida,1964-12-17,DE
3102,Mülhnickel,Wilma,1961-04-12,DE
3103,Kiffer,Erich,1973-02-01,DE
3104,Kess,Sara,1945-05-10,DE
3105,Wiesemann,Frika,1958-08-07,DE
3106,Eschenbrenner,Alina,1975-07-22,DE
3107,Freund,Anton,1964-11-20,DE
3108,Diesel,Joachim,1955-01-03,DE
3109,Dhoms,Emilie,1953-08-02,DE
3110,Herzog,Günther,1977-12-09,DE
3111,Faszler,Alice,1956-02-08,DE
3112,Grossfeld,Pia,1956-02-28,DE
3113,Schreiner,Oskar,1958-04-18,DE
3114,Wolf,Claudia,1988-12-08,DE
3115,Markgraff,Klaus,1955-11-04,DE
3116,Wald,Jürgen,1954-06-20,DE
3117,Griechmann,Tanja,1971-11-15,DE
3118,Lorenz,Oliver,1983-04-22,DE
3119,Käse,Edda,1970-05-07,DE
3120,Eppstein,Sophie,1948-03-18,DE
3121,Flegel,Emil,1972-06-11,DE
3122,Friedrich,Edmund,1970-12-21,DE
3123,Fischmann,Oswald,1987-12-07,DE
3124,Fettig,Felix,1964-02-09,DE
3125,Paulus,Bernhard,1969-04-13,DE
3126,Epstein,David,1985-12-16,DE
3127,Hauff,Marie,1991-08-08,DE
3128,Saiter,Leni,1978-06-27,DE
3129,Joppe,Gustav,1979-12-16,DE
3130,Schneckenburger,Lisa,1993-08-28,DE
3131,Grössermann,Volker,1950-12-25,DE
3132,Johann,Josef,1964-12-09,DE
3133,Waldmann,Freia,1969-06-20,DE
3134,Jung,Liah,1972-06-07,DE
3135,Kellerman,Maja,1957-05-13,DE
3136,Zederboim,Sofie,1970-01-01,DE
3137,Nagler,Josef,1974-11-11,DE
3138,Frantzmann,Felix,1989-01-22,DE
3139,Weingartner,Luisa,1947-10-03,DE
3140,Valdick,Freia,1955-08-15,DE
3141,Kinder,Mia,1963-05-04,DE
3142,Freud,Egon,1946-05-09,DE
3143,Hammermann,Julian,1976-04-15,DE
3144,Peter,Otho,1986-03-18,DE
3145,Bürger,Maya,1988-05-05,DE
3146,Zederman,Lea,1980-11-27,DE
3147,Grosland,Zoe,1954-02-04,DE
3148,Daniel,Erika,1956-12-25,DE
3149,Christophorus,Sylivia,1988-05-15,DE
3150,Jodocus,Tobias,1975-10-30,DE
3151,Baur,Jana,1952-01-23,DE
3152,Georgius,Emma,1959-09-17,DE
3153,Freimuth,Huberta,1974-03-21,DE
3154,Kleiner,Oliver,1960-11-25,DE
3155,Kiefer,Clara,1964-06-30,DE
3156,Roth,Waldemar,1985-06-23,DE
3157,Graf,Jürgen,1968-03-06,DE
3158,Koch,Hannah,1961-03-24,DE
3159,Jungmann,Manfred,1963-02-14,DE
3160,Busch,David,1966-01-18,DE
3161,Mülhmeister,Stefan,1957-03-14,DE
3162,Hug,Manfred,1980-11-08,DE
3163,Freissmuth,Lea,1988-11-06,DE
3164,Buschman,Katrin,1968-08-27,DE
3165,Stiert,Amelie,1982-08-06,DE
3166,Espen,Eckart,1993-01-23,DE
3167,Molitor,Josefine,1975-06-16,DE
3168,Nicolaus,Adrian,1947-12-30,DE
3169,Ochs,Lia,1976-11-27,DE
3170,Rosenwald,Hermine,1989-03-07,DE
3171,Ittel,Gerd,1968-07-23,DE
3172,Möves,Sophia,1987-08-21,DE
3173,Jungest,Leah,1978-04-16,DE
3174,Zwillinge,Mia,1948-04-27,DE
3175,Stoltz,Jasmin,1979-12-28,DE
3176,Stefan,Maja,1957-10-17,DE
3177,Loewy,Pia,1956-12-22,DE
3178,Rosengart,Sara,1945-08-05,DE
3179,Lehnart,Egon,1976-12-30,DE
3180,Schwarzenberg,Eberhard,1979-05-11,DE
3181,Ceder,Laura,1974-03-14,DE
3182,Hammerchmidt,Hans,1969-11-14,DE
3183,Ricerz,Gudrun,1951-03-15,DE
3184,Weiss,Thorsten,1970-03-01,DE
3185,Kessel,Jasmin,1977-05-06,DE
3186,Frei,Leni,1946-02-08,DE
3187,Schmittlein,Johanna,1973-07-29,DE
3188,Lutz,Sofie,1983-10-29,DE
3189,Boehmitz,Helmut,1991-04-22,DE
3190,Rosen,Gretchen,1989-10-11,DE
3191,Gross,Lina,1953-04-18,DE
3192,Michler,Lothar,1990-06-18,DE
3193,Birke,Amelie,1965-04-04,DE
3194,Fritzmann,Tinka,1958-03-12,DE
3195,Fritz,Sebastian,1975-04-02,DE
3196,Weissmann,Eberhard,1985-09-21,DE
3197,Franz,Ottmar,1969-10-01,DE
3198,Grossman,Huberta,1947-07-06,DE
3199,Ranck,Gustav,1949-04-26,DE
3200,Kreutz,Blanca,1964-10-27,DE
3201,Schön,Alexander,1974-02-06,DE
3202,Kieser,Markus,1994-04-16,DE
3203,Schumacher,Mia,1993-11-25,DE
3204,Falckenback,Nina,1973-08-05,DE
3205,Batista,Joachim,1963-02-27,DE
3206,Platz,Edmund,1970-11-14,DE
3207,Cederboim,Frieda,1949-07-29,DE
3208,Weichmann,Klaus,1971-05-08,DE
3209,Christianus,Stefan,1956-04-01,DE
3210,Scharzfeld,Marie,1979-11-01,DE
3211,Wilbert,Otto,1954-05-12,DE
3212,Nicklaus,Mats,1973-07-20,DE
3213,Fernbach,Frika,1956-06-10,DE
3214,Möbius,Herman,1983-06-06,DE
3215,Klein,Rudy,1959-07-13,DE
3216,Hirsch,Michael,1983-09-09,DE
3217,Moris,Harald,1991-04-12,DE
3218,Loevi,Maximilian,1956-06-01,DE
3219,Platzer,Dominik,1973-07-27,DE
3220,Fritsch,Marlene,1951-09-30,DE
3221,Ackermann,Jens,1984-01-01,DE
3222,Weise,Anton,1967-03-21,DE
3223,Jungers,Julia,1982-12-23,DE
3224,Mülhlsteff,Maja,1949-06-24,DE
3225,Kupfer,Ulbert,1963-01-13,DE
3226,Robrecht,Wilhelm,1985-08-31,DE
3227,Goldmann,Neele,1984-03-28,DE
3228,Leimkühler,Josephine,1982-11-21,DE
3229,Valdix,Blanca,1978-09-28,DE
3230,Thönnings,Marco,1963-04-29,DE
3231,Shriver,Ottmar,1947-02-02,DE
3232,Ficht,Flitzie,1970-05-02,DE
3233,Mayer,Felix,1948-06-28,DE
3234,Feremback,Ida,1992-02-26,DE
3235,Wolfsohn,Stefan,1946-04-24,DE
3236,Stesseur,Josef,1987-09-17,DE
3237,Mees,Rudiger,1990-08-09,DE
3238,Christian,Sofia,1992-07-22,DE
3239,Roprecht,Claudia,1993-03-28,DE
3240,Scheffer,Hilde,1964-02-10,DE
3241,Koening,Amelie,1958-03-27,DE
3242,Bischof,Lili,1977-10-21,DE
3243,Heilbronn,Till,1979-08-01,DE
3244,Klaus,Alda,1982-08-30,DE
3245,Augustinus,Clara,1954-03-29,DE
3246,Falkenbach,Werner,1973-07-03,DE
3247,Schönstein,Leon,1983-12-17,DE
3248,Hass,Kevin,1946-07-21,DE
3249,Lucks,Mats,1981-07-08,DE
3250,Keffer,Erich,1982-03-07,DE
3251,Freismuth,Lando,1955-10-31,DE
3252,Schmid,Tanja,1959-10-16,DE
3253,Moser,Franziska,1966-09-27,DE
3254,Weil,Leoni,1960-03-27,DE
3255,Martz,Derrek,1976-03-09,DE
3256,Schwartz,Lili,1945-12-08,DE
3257,Dreher,Thomas,1990-05-03,DE
3258,Stösser,Louisa,1974-05-06,DE
3259,Jürgen,Birgit,1982-09-20,DE
3260,Glas,Lea,1969-05-16,DE
3261,Kinderstuth,Frieda,1946-10-13,DE
3262,Frischmann,Julian,1971-01-24,DE
3263,Kessmann,Leopold,1978-06-07,DE
3264,Bartels,Mats,1978-08-14,DE
3265,Grassman,Lili,1980-11-20,DE
3266,Mark,Conrad,1983-07-12,DE
3267,Dorner,Lara,1985-03-16,DE
3268,Weidinger,Siegfried,1987-09-05,DE
3269,Holzer,Melina,1988-03-19,DE
3270,Eberhart,Holger,1956-11-17,DE
3271,Haase,Maya,1978-05-22,DE
3272,Heiptmann,Laura,1979-09-17,DE
3273,Meyerfield,Josefine,1987-02-21,DE
3274,Kreitzer,Adrian,1964-12-17,DE
3275,Flämisch,Gerarde,1958-12-20,DE
3276,Eppensteiner,Eberhard,1947-04-17,DE
3277,Anton,Birgit,1992-01-29,DE
3278,Freude,Lilli,1953-01-19,DE
3279,Schwarz,Harald,1979-08-03,DE
3280,Kölher,Ida,1994-10-20,DE
3281,Cederbaum,Paula,1977-06-18,DE
3282,Andreas,Lya,1971-01-26,DE
3283,Starck,Louisa,1986-05-31,DE
3284,Schwarzenberger,Jonas,1970-07-26,DE
3285,Ulmer,Paul,1965-03-15,DE
3286,Schönmann,Lya,1961-01-09,DE
3287,Angermüller,Jupp,1986-03-01,DE
3288,Salm,Volker,1962-12-20,DE
3289,Bach,Uwe,1967-08-31,DE
3290,Keler,Paul,1958-10-08,DE
3291,Jungbluth,Lena,1988-01-07,DE
3292,Hetman,Alda,1958-11-24,DE
3293,Fehrnbach,Rainer,1988-02-10,DE
3294,Fernbach,Greta,1965-09-27,DE
3295,Buche,Rudy,1970-10-10,DE
3296,Mattis,Herman,1973-02-03,DE
3297,Kristian,Rainer,1969-05-28,DE
3298,Hoff,Leni,1973-07-17,DE
3299,Schwarzberg,Uwe,1945-07-30,DE
3300,Kahlmann,David,1988-12-15,DE
3301,Bogen,Rudi,1966-01-24,DE
3302,Kramer,Niklas,1981-03-06,DE
3303,Grossmann,Klaus,1963-03-10,DE
3304,Ludwig,Rudi,1947-12-27,DE
3305,Fehrembach,Max,1952-07-07,DE
3306,Radmacher,Bernhard,1954-05-18,DE
3307,Freymann,Lia,1975-12-09,DE
3308,Ferembach,Ralf,1971-09-24,DE
3309,Alexander,Tim,1984-05-01,DE
3310,Silberfuchs,Diether,1963-11-25,DE
3311,Weiler,Leopold,1987-07-17,DE
3312,Jobke,Wolgang,1980-05-23,DE
3313,Fransman,Gelsa,1956-05-15,DE
3314,Kilburg,Leopold,1970-07-25,DE
3315,Kindermann,Klara,1969-08-07,DE
3316,Nachtigall,Lara,1980-03-17,DE
3317,Taüffer,Laura,1966-03-10,DE
3318,Falckenbach,Michael,1965-03-13,DE
3319,Zimmer,Alexander,1956-08-04,DE
3320,Schonstein,Annika,1976-02-24,DE
3321,Hochgenug,Giesela,1945-06-03,DE
3322,Joppin,Otho,1947-07-24,DE
3323,Valdik,Maximilian,1994-10-08,DE
3324,Steinmetz,Linda,1969-01-19,DE
3325,Stadtmüller,Flitzie,1950-10-27,DE
3326,Braun,Richard,1994-06-29,DE
3327,Michael,Zoe,1966-10-17,DE
3328,Meir,Anja,1945-11-12,DE
3329,Richardt,Nele,1965-10-02,DE
3330,Fehrenbach,Brunhild,1972-07-08,DE
3331,Theis,Maximilian,1987-08-28,DE
3332,Schmit,Derrek,1964-01-01,DE
3333,Taifer,Dominik,1979-11-17,DE
3334,Aschenbrenner,Sylivia,1964-05-25,DE
3335,Ungeschikt,Nina,1976-10-30,DE
3336,Blitsch,Liah,1955-04-14,DE
3337,Weber,Julian,1947-05-07,DE
3338,Korb,Zoe,1975-08-16,DE
3339,Grosse,Egon,1987-05-15,DE
3340,Wolff,Leah,1977-06-19,DE
3341,Quantius,Nina,1945-12-02,DE
3342,Mülher,Dieter,1968-11-13,DE
3343,Junger,Gerarde,1945-09-28,DE
3344,Dorpmüller,Ulbert,1949-11-16,DE
3345,Hänzel,Erich,1992-09-21,DE
3346,Zeller,Alda,1960-08-10,DE
3347,Baumgartner,Siegfried,1961-06-14,DE
3348,Fabeck,Artur,1965-02-02,DE
3349,Hammel,Leonie,1976-07-22,DE
3350,Rothe,Derrek,1946-06-28,DE
3351,Garten,Hanna,1980-05-16,DE
3352,Berk,Andreas,1947-06-08,DE
3353,Zederbaum,Claudia,1953-06-30,DE
3354,Frischmuth,Ernst,1957-12-26,DE
3355,Dinkelbauer,Lothar,1949-05-06,DE
3356,Kraft,Ulrich,1962-09-20,DE
3357,Escher,Birgit,1993-03-10,DE
3358,Fischer,Tim,1947-08-31,DE
3359,Kraak,Volker,1986-03-22,DE
